SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Brazil,BRA,1970,0.0,,,0.0
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,China,CHN,1970,0.0,,,0.0
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,India,IND,1970,-5.54665996976901,-inf,,-5.54665996976901
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Russian Federation,RUS,1970,0.0,-100.0,,-5.54665996976901
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,South Africa,ZAF,1970,14.2717004965297,inf,1.745008105352138,8.72504052676069
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Brazil,BRA,1971,15.3484632552329,7.5447404390599715,4.814700756398718,24.07350378199359
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,China,CHN,1971,0.0,-100.0,4.814700756398718,24.07350378199359
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,India,IND,1971,10.3970656983541,inf,8.00344589002334,34.47056948034769
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Russian Federation,RUS,1971,0.0,-100.0,8.00344589002334,34.47056948034769
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,South Africa,ZAF,1971,10.8105883321378,inf,7.311223457144959,45.28115781248549
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Brazil,BRA,1972,16.7146909135573,54.61407279627639,7.58446898880984,61.99584872604279
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,China,CHN,1972,0.0,-100.0,7.58446898880984,61.99584872604279
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,India,IND,1972,4.29783746387267,inf,6.364623341913554,66.29368618991546
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Russian Federation,RUS,1972,0.0,-100.0,6.364623341913554,66.29368618991546
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,South Africa,ZAF,1972,5.84208850684496,inf,5.370923376854986,72.13577469676042
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Brazil,BRA,1973,20.9906713668287,259.30081069868595,6.226119467509266,93.12644606358913
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,China,CHN,1973,0.0,-100.0,6.226119467509266,93.12644606358913
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,India,IND,1973,-2.63683712200368,-inf,4.839184550333996,90.48960894158544
Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,Russian Federation,RUS,1973,0.0,-100.0,4.839184550333996,90.48960894158544
